企业名称,省份,城市,统一社会信用代码,法定代表人,企业类型,成立日期,注册资本,地址,邮箱,经营范围,网址,电话号码,电话号码（更多号码）
无锡金鳞置业中介服务有限公司,江苏,无锡市,,胡胜北,有限责任公司,2012-03-26,3万人民币元,无锡市钱桥锡陆路234号,,许可经营项目：无 一般经营项目：房产中介服务（上述范围涉及专项审批的，经批准后方可经营）。,,,
无锡市鸿鹄置业有限公司,江苏,无锡市,,王裔旦,有限责任公司(自然人投资或控股),2005-01-17,800万人民币元,无锡市南河浜128号,,房地产开发；物业管理；房产经纪服务；房屋修缮（凭资质证书经营）。,,,
无锡全盛置业投资顾问有限公司,江苏,无锡市,,王微,有限责任公司,2004-03-24,300万人民币元,无锡市靖海新村77号,,房地产经纪及信息咨询服务、家务服务、企业管理咨询服务、经济信息及投资信息（不含专项审批许可项目）咨询服务、装饰装潢服务（不含资质）、绿化服务；建筑材料、装饰装潢材料、金属材料、五金交电、电子产品及通信设备（不含发射装置）、普通机械及配件、电器机械及器材、办公自动化设备的销售。,,,
无锡融和置业投资顾问有限公司,江苏,无锡市,,于进清,有限责任公司,2006-02-28,50万人民币元,无锡市中山路118号402室,,许可经营项目：无。一般经营项目：房屋置换服务、经济信息咨询服务、婚介咨询服务、礼仪服务。（涉及专项审批的，须经批准后方可经营）,,,
无锡龙达置业有限公司城中办事处,江苏,无锡市,,朱仲达,有限责任公司分公司,2003-04-23,,无锡市复兴路130-1-1901室,,为本公司联系业务,,,
无锡泳运房产置业有限公司,江苏,无锡市,,宋云,有限责任公司,1993-02-09,408万人民币元,锡山区港下市镇,,许可经营项目：房地产开发经营（凭有效资质证书经营）。一般经营项目：无。,,,
无锡保罗置业投资顾问有限公司,江苏,无锡市,,孙治平,有限责任公司,2004-03-02,50万人民币元,无锡市县前西街27号,,房产信息咨询及经纪服务；投资顾问咨询服务、财务咨询服务。（涉及专项审批的，须经审批后方可经营）,,,
无锡虹亚置业发展有限公司,江苏,无锡市,,施建强,有限责任公司,2006-11-17,136.8万人民币元,无锡市锡沪东路299-2507,,房产经纪、房产信息咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,13771323068,0510-80211885；
无锡万城置业顾问有限公司,江苏,无锡市,,孙子淳,有限责任公司,2013-08-16,10万人民币元,无锡新区金城东路299号五洲国际工业博览城54-813,,"房产经纪服务;社会经济咨询服务;家政服务;物业管理(凭有效资质证书经营);展览服务;企业形象策划;礼仪服务;清洁服务(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡泰吴置业有限公司江南城饭店,江苏,无锡市,,冯福民,有限责任公司分公司,2002-03-15,500万人民币元,无锡市广瑞路64号,,为江南城客户提供餐饮、娱乐及商务住宿、商务服务，附设卖品部（上述范围涉及国家专项规定的，经批准后方可经营）。,,,
无锡启元置业咨询有限公司南门办事处,江苏,无锡市,,邵晓松,有限责任公司分公司,2004-08-11,,无锡市耕读村李巷144号,,为隶属企业联系业务。,,,
无锡纳尼东置业有限公司,江苏,无锡市,,杨佳妮,有限责任公司,2010-01-27,800万人民币元,江阴市人民中路111号1104-1105,,许可经营项目：房地产开发经营。一般经营项目：房屋工程建筑、市政工程、园林绿化工程、土石方工程、装饰装潢工程、道路工程及配套设施工程的施工；物业管理。（凭有效资质证书经营） （涉及专项审批的，经批准后方可经营）*,,,
无锡中融置业投资顾问有限公司,江苏,无锡市,,高慧明,有限责任公司,2008-09-02,51万人民币元,无锡市南长区新天地休闲广场1号803室,,许可经营项目：无。一般经营项目：房地产营销策划、咨询；利用自有资产对外投资；投资咨询（不含期货、证券）；房地产中介服务；婚介服务；经济贸易咨询服务；装饰装潢服务。,,,
无锡市利群置业顾问有限公司,江苏,无锡市,,王国忠,有限责任公司(自然人投资或控股),2004-03-03,101万人民币元,无锡市小木桥58号101室,,房屋中介咨询服务；建筑材料的销售。,,,
无锡市新梁溪置业发展有限公司,江苏,无锡市,,钱玉华,有限责任公司,2002-12-16,800万人民币元,无锡市新区旺庄路138号-5,,许可经营项目：房地产开发（凭资质经营）。一般经营项目：房屋销售、租赁；房产信息咨询服务；停车场经营。,,,
无锡常发置业有限公司清扬路售楼处,江苏,无锡市,,黄小平,有限责任公司分公司,2008-11-10,,无锡市清扬路五号桥,,销售隶属公司所开发的房屋。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,0510-85728115,
无锡市佰昌置业顾问有限公司,江苏,无锡市,,翟博,有限责任公司(自然人独资),2010-05-24,20万人民币元,无锡市锡山区安镇街道华夏新时代147号,,许可经营项目：无。一般经营项目：商品房的营销策划及销售代理。,,,
无锡市世茂置业有限公司,江苏,无锡市,,倪文杰,有限责任公司,2003-06-19,10万人民币元,锡山区东亭柏庄（体育场北门）,,房屋置换中介服务，代办房产评估、交易、产权、租赁、抵押登记手续，不动产投资策划、咨询。,,,
无锡市世纪置业发展有限公司,江苏,无锡市,,杨震霖,有限责任公司,2001-09-07,200万人民币元,无锡新区27号地块,,房地产销售代理、租赁；房地产经纪、信息咨询服务；建材、装饰装潢材料的销售。,,,
无锡市国力置业投资顾问有限公司,江苏,无锡市,,雷立辉,有限责任公司,2004-05-20,50万人民币元,无锡市锡澄路化工桥堍（市金属丝网厂内）,,房产信息咨询服务、经济信息咨询服务、财务管理咨询。（涉及专项审批的，须经批准后方经营）,,,
无锡市众润置业有限公司上马墩办事处,江苏,无锡市,,陆汉昌,有限责任公司分公司,2003-09-17,,无锡市上马墩路178号,,为本公司联系业务。,,,
无锡市中凯置业顾问有限公司,江苏,无锡市,,王寿隆,有限责任公司,2009-03-19,208万人民币元,无锡市新惠路9号,,许可经营项目：无。一般经营项目：房地产信息咨询、营销策划（不含广告）；经济贸易咨询。（上述经营范围涉及专项审批的经批准后方可经营）*,,,
无锡银盛置业投资咨询有限公司,江苏,无锡市,,谢涛,有限责任公司,2010-06-08,50万人民币元,无锡市惠山区洛社镇陡门村,,许可经营项目：无 一般经营项目：房地产信息咨询服务、企业管理咨询服务、经济信息咨询服务、投资咨询服务（上述范围涉及专项审批的，经批准后方可经营）。,,,
无锡市长乐置业咨询有限公司,江苏,无锡市,,徐亦韬,一人有限责任公司（自然人独资）,2006-02-24,30万人民币元,无锡市锡山区东亭镇春江花园228-2号,,房地产投资咨询，房地产经纪服务。（上述经营范围涉及专项审批的经批准后方可经营）;,,,
无锡市顺翔置业顾问有限公司,江苏,无锡市,,付欣欣,有限责任公司(自然人投资或控股),2005-03-15,50万人民币元,无锡市清扬路杨湾28号,,房地产投资咨询、房产中介服务、营销策划、家政清洗服务。（上述经营范围涉及许可证、专项审批的，经批准取得有效证件后方可经营）;,,,
无锡市理想置业顾问有限公司,江苏,无锡市,,周庆丰,有限责任公司,2009-12-15,50万人民币元,无锡市惠山区钱桥镇新兴路47号,,许可经营项目：无 一般经营项目：房产信息咨询服务，票务代理（铁路票除外）（上述范围涉及专项审批的，经批准后方可经营）。,http://www.51mf.com.cn,,
无锡市鼎承置业顾问有限公司,江苏,无锡市,91320211664940919P,邱璞,有限责任公司,2007-07-24,50万人民币元,无锡市蠡园街道湖景社区梅园石埠139号-1,,"房地产营销策划;企业管理咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13861806718,0510-80183997；
无锡市保利置业有限公司城中办事处,江苏,无锡市,,葛建华,有限责任公司分公司,2003-05-22,,无锡市中山路343号21楼,,为本公司联系业务。,,,
无锡市中山置业顾问有限公司锡沪路办事处,江苏,无锡市,,王云理,有限责任公司分公司,2005-03-04,,无锡市锡山区东亭锡沪西路12号,,为公司联系业务。[经营期限至2025年1月11日止],,,
无锡泊利园置业咨询有限公司,江苏,无锡市,,王学群,有限责任公司,2009-11-16,60万人民币元,无锡市青祁路86号,,许可经营项目：无。一般经营项目：房地产信息咨询；房地产投资咨询。上述经营范围中涉及专项审批的待批准后方可经营。,,,
无锡市中山置业顾问有限公司清扬办事处,江苏,无锡市,,王云理,有限责任公司分公司,2005-04-20,,无锡市南长区清扬路107号-1,,为隶属公司联系业务。,,,
无锡市正和置业投资顾问有限公司,江苏,无锡市,,朱慧英,有限责任公司,2005-08-03,200万人民币元,无锡市崇安区解放东路1008号1811室,,"楼盘营销策划(不含广告)、房产信息咨询及经纪服务、房产置换服务、贷款信息咨询服务、装饰装潢服务(不含资质)(以上经营范围涉及专项行政许可的,经许可后方可经营)",,,
无锡市中山置业顾问有限公司永丰路办事处,江苏,无锡市,,王云理,有限责任公司分公司,2005-05-16,,无锡市永丰路6号,,为隶属公司联系业务,,,
无锡市宏图置业房屋咨询有限公司,江苏,无锡市,,秦艺,有限责任公司,2010-12-01,50万人民币元,无锡市南长区塘泾新村13号1-2,,许可经营项目：无。一般经营项目：房产信息咨询服务；房产中介服务；家庭服务；清洁服务；装饰装潢服务。（上述经营范围涉及许可证、专项审批的，经批准取得有效证件后方可经营）*,,,
无锡市中山置业顾问有限公司人民路办事处,江苏,无锡市,,王云理,有限责任公司分公司,2005-05-23,,无锡市崇安区人民中路90号,,为总公司联系业务。,,,
无锡市中山置业顾问有限公司望宾路办事处,江苏,无锡市,,王云理,有限责任公司分公司,2005-07-19,,无锡市北塘区望宾路84号,,为本公司联系业务。,,,
无锡市中山置业顾问有限公司叙康里办事处,江苏,无锡市,,王云理,有限责任公司分公司,2005-06-13,,无锡市新区叙康里136-6门面房,,为总公司联系业务。,,,
无锡市新区锦绣置业有限公司,江苏,无锡市,,朱晋福,有限责任公司,1996-07-25,89万人民币元,无锡市新区旺庄桥156号,,物业管理服务，经济信息咨询服务，建筑材料，装璜材料，金属材料（不含贵金属），摩托车及汽车配件，普通机械配件的销售。,,,
无锡市鸿基置业有限公司城中经营部,江苏,无锡市,,倪元兴,有限责任公司分公司,2002-11-22,,无锡市崇安区江海街道学前东路536号,,金属材料、五金交电、建筑材料、装饰装潢材料、橡胶制品、化工产品及原料（不含危险品）的销售。,,,
无锡宏普置业有限公司恒昌分公司,江苏,无锡市,,朱锋,有限责任公司分公司,2012-11-24,,无锡市锡山经济开发区商贸园区锡沪路以北,,许可经营项目：无。一般经营项目：为总公司联系业务。,,,
无锡宏普置业有限公司弘谷分公司,江苏,无锡市,,朱锋,有限责任公司分公司,2012-11-24,,无锡市锡山经济开发区商贸园区锡沪路以北,,许可经营项目：无。一般经营项目：为总公司联系业务。,,,
无锡宏普置业有限公司格瑞分公司,江苏,无锡市,,朱锋,有限责任公司分公司,2012-11-24,,江苏省无锡市锡山经济开发区商贸园区锡沪路以北,,许可经营项目：无。一般经营项目：为总公司联系业务。,,,
无锡宏普置业有限公司宇强分公司,江苏,无锡市,,朱锋,有限责任公司分公司,2012-11-24,,江苏省无锡市锡山经济开发区商贸园区锡沪路以北,,许可经营项目：无。一般经营项目：为总公司联系业务。,,,
无锡市中山置业顾问有限公司金海里办事处,江苏,无锡市,,王云理,有限责任公司分公司,2005-07-13,,无锡市新区东风村后上庄9号,,为总公司联系业务。（不得开展经营活动）,,,
无锡星洲置业发展有限公司星洲名致精品酒店,江苏,无锡市,,杨二观,有限责任公司分公司,2014-02-26,,无锡新区高浪东路25-101,,许可经营项目：客房；小型餐馆（不含凉菜；不含裱花蛋糕；不含生食海产品）。一般经营项目：酒店管理；洗衣服务；花卉出租；健身、棋牌、会议服务。（上述经营范围涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）*,http://www.modenaresidence.com,,
无锡市隆合盈泰置业顾问有限公司,江苏,无锡市,,付欣欣,有限责任公司,2007-08-24,101万人民币元,无锡市解放东路918号11B10,,许可经营项目：无。一般经营项目：房地产投资策划、房地产信息咨询、房产经纪、经济贸易咨询、文化礼仪活动的策划、商品房的代理销售。（涉及专项审批的须经批准后方可经营）,,,
无锡市锡沪装饰置业策划有限公司,江苏,无锡市,,吴志强,有限责任公司,1999-02-10,50万人民币元,无锡市东映山河26-1,,装饰装潢服务（不含资质）；金属材料、装潢材料、建筑材料、五金交电、电工器材、陶瓷制品、工艺美术品（不含金银饰品）、化工原料及产品（不含危险品）、针纺织品、百货、电子计算机及配件的零售；自有设备租赁；房屋信息咨询服务。,,,
无锡市吉泰置业投资咨询有限公司,江苏,无锡市,,邓国平,有限责任公司,2013-07-04,200万人民币元,无锡市锡山区东亭街道锡沪中路82号8楼,,许可经营项目：无 一般经营项目：投资咨询服务（不含证券、期货类）；房地产中介服务；房地产营销策划服务（不含广告）；建设项目管理咨询；受托资产管理（不含国有资产）；利用自有资金对外投资（国家法律法规禁止、限制的领域除外）；建筑材料、装饰装潢材料（不含油漆和涂料）、金属材料、五金交电、消防器材、制冷设备...,,,
无锡宏普置业有限公司至展分公司,江苏,无锡市,,朱锋,有限责任公司分公司,2012-11-24,,无锡市锡山经济开发区商贸园区锡沪路以北,,许可经营项目：无。一般经营项目：为总公司联系业务。,,,
无锡市国力置业投资顾问有限公司佳福大厦办事处,江苏,无锡市,,俞菁,有限责任公司分公司(自然人投资或控股),2005-07-13,,无锡市人民中路97号佳福大厦702室,,为总公司联系业务。,,,
无锡风水隆国际置业有限公司五爱售楼处,江苏,无锡市,,肖礼报,有限责任公司分公司,2010-11-04,,无锡市人民西路19-2号,,许可经营项目：无 一般经营项目：房地产销售（凭资质证书经营）。（上述经营范围涉及许可证、专项审批的，经批准取得有效证件后方可经营）*,http://www.hkfsl.com,,
金光置业（无锡）有限公司合肥分公司,安徽,合肥市,,孙宏洁,分公司,2003-04-18,,安徽省合肥市金寨路329号国轩凯旋大厦616-617室,,纸制产品及所需原材料的采购、批发、分割和售后服务。,,,
无锡锡山城市置业有限公司春星分公司,江苏,无锡市,,朱锦伟,有限责任公司分公司,2012-11-24,,无锡市锡山区东亭锡沪东路58号,,许可经营项目:无 一般经营项目:物业管理;园林绿化管理;保洁服务,,,
无锡市鸿基置业有限公司分公司,江苏,无锡市,,倪元兴,有限责任公司分公司,2007-06-28,,无锡市永和路28号17楼,,许可经营项目：无。一般经营项目：房地产经纪。,,,
无锡锡山城市置业有限公司锡沪路分公司,江苏,无锡市,,朱锦伟,有限责任公司分公司,2012-11-23,,无锡市锡山区东亭锡沪东路58号,,许可经营项目：无。一般经营项目：物业管理；园林绿化管理；保洁服务。,,,
无锡锡山城市置业有限公司东街分公司,江苏,无锡市,,朱锦伟,有限责任公司分公司,2012-11-23,,无锡市锡山区东亭锡沪东路58号,,许可经营项目：无。一般经营项目：物业管理；园林绿化管理；保洁服务。,,,
无锡锡山城市置业有限公司门楼分公司,江苏,无锡市,,朱锦伟,有限责任公司分公司,2012-11-23,,无锡市锡山区东亭锡沪东路58号,,许可经营项目：无。一般经营项目：物业管理；园林绿化管理；保洁服务。,,,
无锡锡山城市置业有限公司东亭分公司,江苏,无锡市,,朱锦伟,有限责任公司分公司,2012-11-24,,无锡市锡山区东亭锡沪东路58号,,许可经营项目：无。一般经营项目：物业管理；园林绿化管理；保洁服务。,,,
无锡锡山城市置业有限公司长流分公司,江苏,无锡市,,朱锦伟,有限责任公司分公司,2012-11-23,,无锡市锡山区东亭锡沪东路58号,,许可经营项目：无。一般经营项目：物业管理；园林绿化管理；保洁服务。,,,
无锡锡山城市置业有限公司柏庄分公司,江苏,无锡市,,朱锦伟,有限责任公司分公司,2012-11-23,,无锡市锡山区东亭锡沪东路58号,,许可经营项目：无。一般经营项目：物业管理；园林绿化管理；保洁服务。,,,
无锡同润置业顾问有限公司惠山分公司,江苏,无锡市,,周杰,有限责任公司分公司,2013-09-29,,无锡市惠山区欣惠路232号（开发区）,,许可经营项目：无 一般经营项目：房产信息咨询，房地产经纪服务，经济贸易咨询，财务咨询服务（上述范围涉及专项审批的，经批准后方可经营）。,,,
无锡中广置业房产经纪有限公司学前分公司,江苏,无锡市,,魏军,有限责任公司分公司,2003-07-02,,无锡市学前东路516-518号,,房产经纪服务；经纪信息咨询服务。,,,
无锡中广置业房产经纪有限公司留芳分公司,江苏,无锡市,,魏军,有限责任公司分公司,2003-07-02,,无锡市留芳声巷39-1号,,房产经纪服务；经纪信息咨询服务。,,,
无锡中广置业房产经纪有限公司沁园分公司,江苏,无锡市,,魏军,有限责任公司分公司,2005-04-12,,无锡市南长区沁园新村818-4号,,房产经纪服务；经济信息咨询服务。,,,
无锡启元置业咨询有限公司西门分公司,江苏,无锡市,,邵晓松,有限责任公司分公司,2004-09-21,,无锡市人民西路7号-1,,房地产中介、咨询、代理经纪服务。（以上经营范围中涉及国家专项规定的，经批准后凭有效证件方可经营）,,,
无锡锡山城市置业有限公司春合分公司,江苏,无锡市,,朱锦伟,有限责任公司分公司,2012-11-24,,无锡市锡山区东亭锡沪东路58号,,许可经营项目：无。一般经营项目：物业管理；园林绿化管理；保洁服务。,,,
无锡泰吴置业有限公司开发建设分公司,江苏,无锡市,,李建军,台、港、澳投资公司分公司,1997-11-12,1000万人民币元,江苏省无锡市广瑞路54号,,从事江南城内房产开发、建设、经营。,,,
无锡锡山城市置业有限公司友谊路分公司,江苏,无锡市,,朱锦伟,有限责任公司分公司,2012-11-23,,无锡市锡山区东亭锡沪东路58号,,许可经营项目：无。一般经营项目：物业管理；园林绿化管理；保洁服务。,,,
无锡锡山城市置业有限公司柏庄一村分公司,江苏,无锡市,,朱锦伟,有限责任公司分公司,2012-11-23,,无锡市锡山区东亭锡沪东路58号,,许可经营项目：无。一般经营项目：物业管理；园林绿化管理；保洁服务。,,,
无锡泰吴置业有限公司物业管理分公司,江苏,无锡市,,冯福民,外商投资公司分公司,1996-04-01,1000万人民币元,江苏省无锡市广勤路54号,,从事江南城内物业管理、市场招商、房屋租赁。,,,
无锡弘新置业有限公司东亭房产中介分公司,江苏,无锡市,,支复兴,有限责任公司分公司,2005-07-08,,无锡市锡山区东亭镇友谊路27号,,房地产中介、咨询服务。[经营期限：至2011年11月21日止],,,
无锡天源世基置业投资顾问有限公司,江苏,无锡市,,王志伟,有限责任公司(自然人投资或控股),2003-12-02,300万人民币元,无锡市石子街63号人防大厦313室,,房产信息的咨询及经纪服务；家务服务；企业管理、经济信息、投资信息（不含专项审批项目）的咨询服务；装饰装潢服务（不含资质）；绿化养护服务；建筑材料、装潢材料、金属材料、五金交电、电子产品及通信设备（不含发射装置）、普通机械及配件、电器机械及器材、办公自动化设备的销售。,,,
无锡泰吴置业有限公司开发建设分公司,江苏,无锡市,,冯福民,有限责任公司分公司,2002-03-15,,无锡市惠山新区堰桥锡澄南路28号3216,,从事房产开发，建设，经营（涉及国家专项规定的，经批准后方可经营）。,,,
无锡鑫磊置业投资有限公司盐城分公司,江苏,盐城市,,陆宁燕,有限责任公司分公司,2010-04-16,,盐城市开放大道67号（1）,,许可经营项目：无。一般经营项目：为公司联系接洽业务。,,,
无锡市天颐置业有限公司分公司,江苏,无锡市,,顾芊,有限责任公司分公司(自然人投资或控股),2005-04-28,,无锡市崇安区解放路通运路口临时用房D三楼,,房产信息的咨询服务及经纪代理；经济信息的咨询服务；企业形象设计咨询及策划（不含广告）；装饰装潢服务（不含资质）。,,,
无锡易房置业顾问有限公司春江分公司,江苏,无锡市,,朱清华,有限责任公司分公司,2010-12-16,,无锡市锡山区东亭春江花园71-2号,,许可经营项目：无。一般经营项目：房产经纪服务。,,,
江苏恒联置业有限公司无锡分公司,江苏,无锡市,,支卫峰,有限责任公司分公司,2012-12-05,,无锡市梁溪路51-1003,,许可经营项目:无 一般经营项目:为总公司联系业务。,,,
南京海华置业有限公司无锡分公司,江苏,无锡市,,曹祖伟,有限责任公司分公司,2007-01-23,,无锡市北塘区自治路93号,,许可经营项目：无。一般经营项目：为本公司联系业务。,,,
无锡市博胜置业有限公司梅村分公司,江苏,无锡市,,周黄姐,有限责任公司分公司,2004-01-02,,无锡市新区梅村工业园A-19地块,,许可经营项目：无。一般经营项目：自有房屋的出租。,,,
江苏京泰置业有限公司,江苏,无锡市,,王启国,有限责任公司(台港澳与境内合资),2005-12-09,1200万美元,无锡市锡澄路190号,,房产开发，经营本公司开发的房产，物业管理（凭许可证经营）；提供经济信息咨询。,,,
无锡泰吴置业有限公司物业管理分公司,江苏,无锡市,,冯福民,有限责任公司分公司,2002-03-15,1000万人民币元,江苏省无锡市广瑞路54号,,从事江南城内物业管理，市场招商，房屋租赁。,,,
无锡百润置业有限公司上冈分公司,江苏,盐城市,,陈景清,有限责任公司分公司,2009-06-05,,建湖县上冈镇新东居,,"为公司接洽业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡市理想置业顾问有限公司堰桥分公司,江苏,无锡市,,周庆丰,有限责任公司分公司,2011-06-29,,无锡市惠山区文惠路11-1号,,许可经营项目：无 一般经营项目：为总公司承接业务。,,,
无锡市文博置业有限公司城中分公司,江苏,无锡市,,赵怡,有限责任公司分公司,2002-12-04,,无锡市复兴路108号（房地产市场3号席位）,,为举办单位联系业务。,,,
无锡市七星置业服务有限公司分公司,江苏,无锡市,,蒋益军,有限责任公司分公司(自然人投资或控股),2003-08-01,,无锡市田基浜20-1/2号,,房产经纪服务；经济信息咨询服务。（以上经营范围凡涉及国家专项规定的经批准后方可经营）;,,,
无锡市理想置业顾问有限公司玉祁分公司,江苏,无锡市,,高燕倩,有限责任公司分公司,2010-06-03,,无锡市惠山区玉祁街道湖西路119号（宝龙湖畔花园）,,许可经营项目：无。一般经营项目：房产信息咨询服务。,,,
无锡市天地置业有限责任公司河埒分公司,江苏,无锡市,,张曦,有限责任公司分公司,2001-05-22,,无锡市梁青路溪北新村52号-3、4,,房产信息咨询、中介服务。,,,
无锡新城万嘉置业有限公司崇安分公司,江苏,无锡市,,吴亚春,有限责任公司分公司,2008-08-21,,无锡县前东街188号（国邮大厦）19楼,,许可经营项目：无。一般经营项目：物业管理，自有房屋租赁，室内装饰装潢服务。（上述经营范围涉及专项审批的，经批准后方可经营）*,,,
无锡市乐都置业经纪有限公司柏庄分公司,江苏,无锡市,,杨玉环,有限责任公司分公司,2010-12-09,,无锡市锡山区东亭二泉路桑达园110-1号,,许可经营项目：无。一般经营项目：房屋中介服务（不含房地产价格评估）。,,,
无锡市天地置业有限责任公司振新分公司,江苏,无锡市,,张曦,有限责任公司分公司,1998-05-20,,振新路128号,,房产信息咨询、中介服务。,,,
九龙仓（无锡）置业有限公司国金中心商业分公司,江苏,无锡市,,邵永官,台、港、澳投资公司分公司,2014-10-29,,无锡市钟书路99号国金中心508室,lindading@wxifs.cn,从事对本公司开发的位于无锡市市民广场南侧2-006-020-011号地块商务办公及商业配套设施的经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,0510-81028570,
无锡市华亨置业发展有限公司蠡园分公司,江苏,无锡市,,吴建明,有限责任公司分公司,2005-11-08,,蠡园开发区滴翠路100号3号楼311,,许可经营项目：无。一般经营项目：为本公司联系业务。,,,
无锡市天地置业有限责任公司永乐分公司,江苏,无锡市,,杜瑜,其他,1998-05-20,,南长区大庄里259-2号,,房产信息咨询、中介服务。,,,
上海双林置业实业公司无锡汽配经营部,江苏,无锡市,,胡悌明,集体分支机构(非法人),1994-01-10,,江海东路46号之5,,汽车配件；五金，机电。,,,
无锡鑫磊置业投资有限公司射阳分公司,江苏,盐城市,,陆宁燕,有限责任公司分公司,2011-08-17,,射阳县临海镇陈李线西侧,,受公司委托，联系、洽谈房地产开发经营业务；装饰装潢服务（不含资质）；绿化服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,13805114546,
无锡市华亨置业发展有限公司环科园分公司,江苏,无锡市,,蒋金坤,有限责任公司分公司,2010-01-27,,宜兴环科园绿园路88号,HHZY163@163.COM,许可经营项目：无 一般经营项目：为无锡市华亨置业发展有限公司联系业务。,http://www.wxhuaheng.com/,0510-80762209,0510-87942579；
九龙仓（无锡）置业有限公司北京分公司,北京,北京市,,明成海,分公司,2008-03-12,,北京市西城区西长安街88号首都时代广场908室,,从事公司经营范围内的联络、咨询业务。,,,
瑞年（江苏）置业有限公司,江苏,无锡市,,王福才,有限责任公司(台港澳法人独资),2004-04-09,1000万美元,无锡市锡山经济开发区芙蓉一路、二路之间,,药品仓储设施的建设；经营本公司建设的药品仓储设施；管理本公司建设的药品仓储设施。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,0510-81027140,18912387100；
无锡易房置业顾问有限公司金太湖分公司,江苏,无锡市,91320204MA1MUYFD7M,王云燕,有限责任公司分公司,2016-09-27,,无锡市金太湖国际城1359,2431779906@qq.com,房产经纪服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,0510-82750793,
深圳市英联置业有限公司无锡分公司,江苏,无锡市,,高建群,有限责任公司分公司,2003-12-23,,无锡市永丰路235号,,房地产咨询、经纪的服务（不含限制项目）。,,,
无锡鑫磊置业投资有限公司淮滨分公司,河南,信阳市,,李成军,有限责任公司分公司(自然人投资或控股),2010-01-12,,淮滨县城关镇建设街,,利用公司自有资产对房地产行业进行投资；投资咨询（不含证券期货类）；装饰装璜服务（不含资质）；绿化服务（凡涉及专项审批的经批准后方可经营）,,,
无锡市天龙置业投资顾问有限公司市场分公司,江苏,无锡市,,华瑞心,有限责任公司分公司,2007-03-29,,无锡市复兴路108号（房地产市场22-1号）,,房产置换服务、抵押贷款咨询。,,,
江阴华地置业有限公司,江苏,无锡市,,陶庆荣,有限责任公司(台港澳与境内合资),2003-04-17,7000万人民币元,江阴市虹桥南路10号,,筹建普通商品房的开发、建设、销售、租赁及配套物业管理项目，不得开展经营活动。,,,
无锡策源置业顾问有限公司城中分公司,江苏,无锡市,91320203MA1MU0NW00,李彧,有限责任公司分公司,2005-08-18,,无锡市南长区清扬路91-99（单号）8008,717335874@qq.com,为本公司联系业务。,,0510-82300269,
南京金通置业有限公司无锡分公司,江苏,无锡市,,陶明,有限责任公司分公司,2004-12-17,,无锡市滨湖区湖滨路67号,,房地产开发、销售（凭资质证书经营）；物业管理；装饰装璜服务；日用百货、建筑材料销售。（经营范围中涉及专项审批的待批准后方可经营）,,,
无锡市中山置业顾问有限公司凤翔分公司,江苏,无锡市,,王云理,有限责任公司分公司,2006-03-07,,无锡市北塘区凤翔苑57号-1,,房地产营销策划、房地产信息咨询、房地产经纪、经济信息咨询服务；装饰装潢服务；企业形象策划与推广。（涉及专项审批的，经批准后方可经营）,,,
无锡易房置业顾问有限公司中桥分公司,江苏,无锡市,,朱清华,有限责任公司分公司,2011-02-15,,无锡市南长区中南路55-2,2431779906@qq.com,房产经纪服务；经济贸易咨询服务；家务服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,0510-82750793,0510-68755630；0510-82712925；0510-82731676；
无锡市中山置业顾问有限公司绿洲分公司,江苏,无锡市,,王云理,有限责任公司分公司,2005-07-27,,无锡市北塘区兴源北路11号,,房地产营销策划、房地产信息咨询、房地产经纪、经济信息咨询服务；房产经营；装饰装潢服务；企业形象策划与推广。（涉及专项审批的，须经批准后方可经营）,,,
无锡市荣耀置业有限公司射阳分公司,江苏,盐城市,,燕陵如,有限责任公司分公司,2002-09-11,,射阳县合德镇晨光路1号楼204室,,受公司委托从事房地产开发经营业务——,,,
无锡市理想置业顾问有限公司广石分公司,江苏,无锡市,,周庆丰,有限责任公司分公司,2011-04-29,,无锡市北塘区广石西路860、862号,,许可经营项目：无 一般经营项目：房产信息咨询服务，票务代理（铁路票除外）。（以上经营范围涉及国家专项审批的，经批准后方可经营）*,,,
无锡市乐都置业经纪有限公司太湖花园分公司,江苏,无锡市,,杨玉环,有限责任公司分公司,2010-12-13,,无锡市新区长江北路113-1号,,许可经营项目：无。一般经营项目：房屋中介服务（不含房地产价格评估）。（上述经营范围中涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）*,,,
